edge_id,risk,risk_dark,incident_count
61596,5.0,5.0,1
61883,5.0,5.0,1
63773,5.0,5.0,1
63976,3.0,3.0,1
64593,10.0,10.0,1
67156,2.0,3.0,1
67503,3.0,4.5,1
68199,3.9000000000000004,3.9000000000000004,1
69526,2.0,2.0,1
72111,2.0,3.0,1
72153,3.0,3.0,1
72160,5.0,5.0,1
72557,5.0,5.0,1
72560,10.0,10.0,1
73684,2.0,3.0,1
73970,13.0,19.5,1
74027,3.9000000000000004,5.8500000000000005,1
74096,3.0,3.0,1
74230,5.0,5.0,1
74324,3.0,3.0,1
74535,13.0,13.0,1
74702,5.2,5.2,2
74703,2.6,2.6,1
74809,5.0,5.0,1
74920,6.0,7.5,2
74942,6.5,9.75,1
75078,5.0,7.5,1
75149,5.0,5.0,1
77116,5.0,5.0,1
77224,3.9000000000000004,3.9000000000000004,1
77227,5.0,7.5,1
77416,3.0,3.0,1
78285,10.0,15.0,1
78317,2.0,2.0,1
78318,5.0,7.5,1
78322,5.0,5.0,1
78729,2.0,2.0,1
79023,3.0,4.5,1
79418,2.0,2.0,1
79860,5.0,5.0,1
79938,5.0,5.0,1
80035,3.0,3.0,1
80521,5.0,5.0,1
80600,5.0,7.5,1
81055,5.0,5.0,1
81293,5.0,5.0,1
82362,5.0,5.0,1
83551,8.0,8.0,2
83552,3.0,3.0,1
83559,6.0,7.5,2
84310,5.0,5.0,1
84735,10.0,10.0,1
85243,5.0,5.0,1
85687,2.0,3.0,1
86164,3.0,4.5,1
86387,5.0,5.0,1
86472,3.9000000000000004,3.9000000000000004,1
86507,5.0,5.0,1
86578,3.0,4.5,1
86625,2.0,2.0,1
87191,5.0,5.0,1
87987,3.0,3.0,1
88284,6.5,9.75,1
88291,3.9000000000000004,3.9000000000000004,1
88870,5.0,5.0,1
88922,3.0,3.0,1
90888,6.5,6.5,1
91036,2.0,2.0,1
91153,5.0,5.0,1
91197,5.0,7.5,1
91341,5.0,5.0,1
93093,2.6,3.9000000000000004,1
93633,5.0,7.5,1
94913,2.0,2.0,1
94962,6.5,6.5,1
95613,5.0,5.0,1
95880,3.0,3.0,1
96368,5.0,5.0,1
97544,5.0,7.5,1
97549,3.0,4.5,1
97614,6.5,6.5,1
99836,3.0,3.0,1
101476,3.0,3.0,1
102226,5.0,5.0,1
102950,3.0,3.0,1
103045,3.0,4.5,1
104002,3.0,3.0,1
105343,5.0,7.5,1
105659,3.0,3.0,1
106650,3.0,3.0,1
106928,6.5,9.75,1
108861,3.0,3.0,1
111004,5.0,5.0,1
111225,3.0,4.5,1
111301,5.0,5.0,1
114443,3.9000000000000004,3.9000000000000004,1
117823,2.0,2.0,1
118484,3.9000000000000004,5.8500000000000005,1
118806,6.5,9.75,1
119199,3.0,4.5,1
119283,6.5,9.75,1
119284,2.0,2.0,1
120273,6.5,9.75,1
120642,3.0,4.5,1
120924,5.0,5.0,1
120952,11.0,15.0,3
121253,5.0,5.0,1
121753,5.0,5.0,1
122275,3.0,3.0,1
122304,5.0,5.0,1
122558,3.0,3.0,1
122564,5.0,5.0,1
123397,3.0,3.0,1
124358,6.0,6.0,2
124369,6.5,6.5,1
124595,6.5,6.5,1
125030,5.0,7.5,1
125386,5.0,7.5,1
125518,10.4,12.350000000000001,2
125620,3.0,3.0,1
126110,13.0,19.5,1
126485,6.5,6.5,1
127122,2.0,3.0,1
127870,5.0,5.0,1
127952,2.0,2.0,1
127976,5.0,5.0,1
129278,3.0,3.0,1
129564,3.9000000000000004,3.9000000000000004,1
129629,7.0,7.0,2
129646,13.0,13.0,1
129744,6.5,6.5,1
132457,3.0,3.0,1
132485,6.0,6.0,2
132728,5.0,7.5,1
133046,5.0,5.0,1
133056,5.0,7.5,1
133105,3.0,3.0,1
133166,2.0,3.0,1
136178,5.0,5.0,1
137342,13.0,19.5,1
138633,6.5,6.5,1
138699,3.9000000000000004,3.9000000000000004,1
138975,3.0,3.0,1
138984,10.0,10.0,1
139034,3.9000000000000004,3.9000000000000004,1
139097,5.0,5.0,1
139129,13.0,16.25,2
139142,3.0,3.0,1
139177,5.0,5.0,1
139212,2.0,2.0,1
139234,5.0,5.0,1
139258,5.0,5.0,1
139275,2.0,2.0,1
139366,5.0,7.5,1
139704,2.0,2.0,1
139719,3.0,4.5,1
140012,5.0,7.5,1
140610,5.0,7.5,1
141053,3.0,3.0,1
141654,5.0,7.5,1
141942,3.9000000000000004,5.8500000000000005,1
142118,3.9000000000000004,3.9000000000000004,1
142903,5.0,5.0,1
143942,2.0,2.0,1
144936,5.0,7.5,1
145174,3.0,3.0,1
145432,16.9,25.35,3
145675,2.6,2.6,1
147800,5.0,5.0,1
149216,5.0,7.5,1
149341,5.0,7.5,1
149346,5.0,5.0,1
149390,6.5,6.5,1
149392,5.0,7.5,1
149393,3.0,3.0,1
149526,2.0,3.0,1
149564,5.0,5.0,1
149788,13.0,13.0,1
151774,3.9000000000000004,3.9000000000000004,1
153161,3.0,3.0,1
153641,2.0,2.0,1
153820,5.0,7.5,1
153844,3.0,4.5,1
153971,5.0,7.5,1
154218,3.0,4.5,1
154388,3.0,3.0,1
154716,3.9000000000000004,5.8500000000000005,1
156292,5.0,5.0,1
157269,6.5,6.5,1
157302,5.0,7.5,1
157334,3.9000000000000004,5.8500000000000005,1
157354,5.0,5.0,1
157356,3.0,4.5,1
157365,5.0,7.5,1
157387,5.0,5.0,1
157391,6.5,6.5,1
157400,3.0,3.0,1
157441,6.5,9.75,1
157527,3.9000000000000004,3.9000000000000004,1
159193,2.0,3.0,1
160444,5.0,5.0,1
161127,6.5,6.5,1
161536,2.0,2.0,1
166011,5.0,5.0,1
167882,5.0,5.0,1
167904,5.0,7.5,1
168787,2.0,2.0,1
168848,5.0,7.5,1
169479,5.0,5.0,1
169521,5.0,5.0,1
171583,5.0,5.0,1
172557,5.0,5.0,1
173156,6.5,6.5,1
179750,5.0,5.0,1
184737,3.0,3.0,1
185716,5.0,5.0,1
187828,10.0,10.0,1
188283,2.0,2.0,1
188376,5.0,5.0,1
188422,5.0,5.0,1
188483,3.0,4.5,1
188925,3.0,4.5,1
189397,5.0,5.0,1
190720,3.0,3.0,1
191160,3.0,4.5,1
195337,3.0,3.0,1
195609,3.0,4.5,1
198060,3.0,3.0,1
198135,5.0,5.0,1
199904,3.0,3.0,1
200439,5.0,5.0,1
201520,2.0,3.0,1
205110,5.0,5.0,1
206031,5.0,7.5,1
207734,2.0,3.0,1
209544,5.0,7.5,1
209598,3.0,4.5,1
209735,5.0,5.0,1
209738,3.9000000000000004,5.8500000000000005,1
209757,3.9000000000000004,5.8500000000000005,1
209791,7.800000000000001,7.800000000000001,2
209914,13.0,13.0,1
209941,3.0,3.0,1
210151,5.0,5.0,1
210152,5.0,5.0,1
210849,1.0,1.0,1
210856,3.0,3.0,1
210936,3.0,3.0,1
211513,3.0,3.0,1
211952,3.0,3.0,1
214379,5.0,5.0,1
214737,3.0,3.0,1
217413,3.0,3.0,1
217949,2.0,2.0,1
218135,3.0,3.0,1
218725,5.0,7.5,1
221282,3.0,4.5,1
222597,3.0,3.0,1
223630,5.0,5.0,1
225610,5.0,7.5,1
227300,3.9000000000000004,3.9000000000000004,1
227478,5.0,5.0,1
227759,3.0,3.0,1
229675,5.0,5.0,1
230210,3.0,3.0,1
233151,3.0,3.0,1
235121,3.0,4.5,1
235124,3.0,3.0,1
237295,8.0,12.0,2
237299,5.0,5.0,1
237898,5.0,5.0,1
238085,2.0,2.0,1
238246,2.0,2.0,1
238844,3.0,3.0,1
239067,6.5,9.75,1
239466,5.0,5.0,1
240910,5.0,7.5,1
240982,3.0,4.5,1
241088,3.0,3.0,1
241093,5.0,5.0,2
241103,1.0,1.5,1
241104,3.0,4.5,1
241117,2.0,2.0,1
241142,3.9000000000000004,3.9000000000000004,1
241217,3.9000000000000004,3.9000000000000004,1
242874,3.9000000000000004,3.9000000000000004,1
243583,3.9000000000000004,3.9000000000000004,1
244402,6.5,9.75,1
244684,5.0,7.5,1
244721,2.0,2.0,1
245061,6.5,6.5,1
246701,3.0,3.0,1
247405,5.0,5.0,1
247465,6.5,6.5,1
248910,3.0,3.0,1
249175,2.0,2.0,1
249369,5.0,7.5,1
249467,5.0,7.5,1
250264,5.0,7.5,1
250464,3.0,4.5,1
250670,5.0,5.0,1
259220,5.0,5.0,1
261931,6.5,9.75,1
262237,6.5,6.5,1
262266,6.5,6.5,1
262286,13.0,13.0,1
264121,2.0,2.0,1
265145,2.0,2.0,1
266754,13.0,16.25,2
267020,2.6,2.6,1
267895,6.5,6.5,1
270673,3.0,4.5,1
270772,5.0,7.5,1
271456,2.0,2.0,1
272866,3.9000000000000004,3.9000000000000004,1
272867,3.9000000000000004,3.9000000000000004,1
273106,6.5,6.5,1
274076,3.0,3.0,1
274948,3.0,4.5,1
275238,6.5,6.5,1
275257,3.0,4.5,1
275595,3.0,3.0,1
275865,2.6,2.6,1
275943,3.0,3.0,1
276223,6.5,6.5,1
276304,8.0,9.5,2
276468,2.0,3.0,1
276714,5.0,5.0,1
278172,5.0,7.5,1
278612,5.0,7.5,1
278660,6.5,6.5,1
278712,5.0,7.5,1
278884,5.0,5.0,1
278945,3.0,3.0,1
278947,5.0,5.0,1
279081,5.0,7.5,1
279100,5.0,7.5,1
279147,5.0,5.0,1
279204,5.0,5.0,1
279220,5.0,5.0,1
279231,2.0,2.0,1
279304,2.0,2.0,1
279341,5.0,7.5,1
279363,2.0,3.0,1
279387,5.0,5.0,1
279502,2.0,2.0,1
280101,2.0,2.0,1
280160,2.0,2.0,1
280162,3.0,4.5,1
280185,3.0,4.5,1
280287,5.0,5.0,1
280446,3.0,3.0,1
281782,2.0,2.0,1
281808,5.0,7.5,1
282211,3.0,3.0,1
283791,10.0,10.0,1
284291,5.0,5.0,1
284303,3.0,3.0,1
284318,3.0,3.0,1
284391,2.0,3.0,1
286274,6.5,6.5,1
287323,2.6,2.6,1
288451,3.0,3.0,1
288455,5.0,7.5,1
288480,3.0,4.5,1
288502,2.0,2.0,1
289817,10.4,13.65,2
289944,5.0,5.0,1
290279,5.0,7.5,1
290320,5.0,5.0,1
290715,5.0,7.5,1
290848,5.0,5.0,1
291523,3.0,3.0,1
291587,5.0,5.0,1
291588,5.0,7.5,1
293035,6.5,9.75,1
300889,5.0,7.5,1
302156,3.0,4.5,1
303951,7.0,9.5,2
303954,8.0,12.0,2
303956,10.0,10.0,1
304080,6.5,6.5,1
304933,2.0,2.0,1
305285,5.0,7.5,1
305573,5.0,5.0,1
306597,5.0,7.5,1
306764,5.0,5.0,1
306765,2.0,3.0,1
308522,3.9000000000000004,3.9000000000000004,1
309129,6.5,9.75,1
309306,5.0,5.0,1
310746,6.5,6.5,1
310749,5.0,5.0,2
311278,2.0,2.0,1
311986,2.0,2.0,1
312728,6.5,9.75,1
313153,13.0,19.5,1
313208,2.0,2.0,1
313246,3.0,4.5,1
313666,3.9000000000000004,3.9000000000000004,1
313802,5.0,5.0,1
317075,2.0,2.0,1
317258,6.5,6.5,1
317321,3.0,3.0,1
317384,2.0,2.0,1
317398,3.0,3.0,1
318076,2.0,2.0,1
318088,5.0,5.0,1
318095,2.0,2.0,1
318129,5.0,5.0,1
318171,2.6,3.9000000000000004,1
318870,6.5,9.75,1
318872,3.9000000000000004,5.8500000000000005,1
319764,6.5,9.75,1
319996,5.0,5.0,1
322593,2.0,2.0,1
323982,6.5,9.75,1
325026,10.0,10.0,2
325391,3.0,3.0,1
326512,6.5,6.5,1
327400,3.9000000000000004,3.9000000000000004,1
328302,5.0,5.0,1
328625,3.9000000000000004,5.8500000000000005,1
328666,3.9000000000000004,3.9000000000000004,1
328700,2.6,3.9000000000000004,1
328719,15.0,17.5,2
329245,6.5,6.5,1
329567,3.9000000000000004,3.9000000000000004,1
332485,2.0,3.0,1
335017,6.5,9.75,2
335103,5.0,5.0,1
335229,6.5,9.75,1
335658,6.5,6.5,1
336508,3.0,3.0,1
338138,5.0,5.0,1
338139,3.0,4.5,1
340932,3.0,3.0,1
341044,5.0,7.5,1
341397,11.0,15.0,3
342426,3.0,3.0,1
343310,13.0,19.5,1
343342,5.0,5.0,1
343343,5.0,5.0,1
343642,5.0,7.5,1
345264,3.0,4.5,1
345281,3.0,3.0,1
345865,5.0,7.5,1
345937,6.5,9.75,1
346272,2.0,2.0,1
346325,3.0,3.0,1
346612,2.0,2.0,1
346681,5.0,5.0,1
346682,5.0,7.5,1
348250,6.5,6.5,1
348258,2.6,2.6,1
348888,2.0,2.0,1
351038,3.0,3.0,1
353628,6.5,9.75,1
354597,2.6,2.6,1
354612,2.6,2.6,1
354806,5.0,5.0,1
355084,6.5,6.5,1
355577,3.0,4.5,1
355702,5.0,7.5,1
355717,5.0,5.0,1
356544,6.0,6.0,2
356545,5.0,5.0,1
356548,8.0,12.0,2
356867,3.0,3.0,1
356884,3.9000000000000004,3.9000000000000004,1
357145,6.5,9.75,1
357530,6.5,6.5,1
357610,3.0,4.5,1
357953,5.0,7.5,1
358424,2.0,2.0,1
358436,6.0,7.5,2
359116,5.0,5.0,1
359204,5.0,7.5,1
359358,2.6,2.6,1
359772,5.0,7.5,1
359782,3.0,4.5,1
360227,6.5,6.5,1
360612,2.6,3.9000000000000004,1
360622,2.6,2.6,1
361511,3.9000000000000004,3.9000000000000004,1
363547,5.0,5.0,1
363570,3.0,3.0,1
363572,5.0,5.0,1
364697,2.0,3.0,1
366079,2.0,2.0,1
368715,3.9000000000000004,3.9000000000000004,1
369151,3.0,3.0,1
369156,5.0,7.5,1
370516,2.0,2.0,1
370521,3.0,3.0,1
370695,13.0,13.0,1
370983,3.9000000000000004,3.9000000000000004,1
371194,2.0,3.0,1
371196,3.0,3.0,1
371199,2.0,3.0,1
371223,2.0,2.0,1
371561,5.0,5.0,1
371587,3.0,3.0,1
372059,5.0,5.0,1
372079,2.0,2.0,1
372212,13.0,13.0,1
372219,5.0,5.0,1
372224,2.0,2.0,1
372383,5.0,5.0,1
372706,3.0,3.0,1
373573,6.5,6.5,1
373581,6.5,6.5,1
373976,3.0,3.0,1
374091,10.0,15.0,1
375947,7.0,7.0,2
375966,10.0,12.5,4
375970,3.0,3.0,1
378777,2.0,2.0,1
378812,19.5,26.0,2
379265,5.0,5.0,1
379308,3.0,3.0,1
379329,6.5,9.75,1
380046,5.0,5.0,1
380703,3.0,3.0,1
381084,5.0,5.0,1
381340,10.0,10.0,2
381386,2.0,2.0,1
381666,5.0,7.5,1
382282,5.0,5.0,1
382528,3.0,3.0,1
382737,5.0,5.0,1
383005,15.0,17.5,3
383141,5.0,5.0,1
383172,5.0,7.5,1
384331,9.1,9.1,2
384433,2.6,2.6,1
384555,3.9000000000000004,3.9000000000000004,1
384990,5.0,5.0,1
384995,2.0,2.0,1
385127,6.5,9.75,1
385499,2.6,2.6,1
385705,5.0,5.0,1
385761,1.0,1.0,1
386326,5.0,5.0,1
386967,2.0,2.0,1
387069,6.5,9.75,1
387095,3.0,3.0,1
387110,9.1,13.65,2
388804,3.0,3.0,1
389489,10.0,10.0,2
390253,6.5,6.5,1
390302,6.5,6.5,1
390416,3.0,3.0,1
390417,2.0,2.0,1
390575,3.0,3.0,1
390681,13.0,13.0,1
391192,3.0,3.0,1
391975,3.0,4.5,1
392209,3.9000000000000004,3.9000000000000004,1
392255,3.9000000000000004,3.9000000000000004,1
392512,3.0,3.0,1
392516,5.0,5.0,1
392528,5.0,7.5,1
392741,3.0,3.0,1
392814,10.4,10.4,2
392878,10.0,10.0,1
392966,5.0,5.0,1
392986,2.0,3.0,1
392999,3.0,4.5,1
393000,5.0,5.0,1
393040,2.0,2.0,1
393241,2.0,2.0,1
393419,6.5,9.75,1
393605,6.5,6.5,1
393807,5.0,5.0,1
393867,2.0,3.0,1
393891,3.9000000000000004,3.9000000000000004,1
